airline,origin,destination,departure_hour,distance,day,delay
Air Peace,ILR,ABV,1,481,25,0
Air Peace,BAK,LOK,3,406,9,0
Ibom Air,LOS,PHC,6,1495,18,0
Green Africa,JOS,LOS,15,602,31,0
Air Peace,ABV,LOS,0,1398,7,1
Dana Air,LOS,PHC,0,417,31,1
Max Air,JOS,YOLA,13,525,28,0
Overland Airways,ABV,KAN,10,955,2,0
United Nigeria,YOLA,LOS,11,1476,1,1
Ibom Air,YOLA,LOK,10,1412,5,1
Arik Air,BEN,ABV,5,1211,27,0
Overland Airways,JOS,BEN,22,329,27,0
Dana Air,PHC,JOS,11,202,24,1
United Nigeria,BAK,LOK,20,754,30,0
Dana Air,KAN,JOS,11,1356,3,0
Max Air,LOK,BAK,9,465,7,0
Max Air,LOK,YOLA,7,1122,6,0
Aero Contractors,JOS,LOK,19,223,27,1
Ibom Air,ABV,ILR,18,733,29,0
Overland Airways,ABV,YOLA,6,202,30,0
Azman Air,KAN,ILR,13,1079,1,1
Azman Air,BAK,ABV,3,626,28,0
Overland Airways,ILR,ABV,0,203,23,1
Arik Air,BAK,ABV,7,1007,19,0
Ibom Air,ILR,YOLA,4,983,30,0
Dana Air,KAN,ABV,7,702,20,0
Arik Air,ILR,PHC,7,431,14,0
Green Africa,PHC,JOS,20,1072,10,0
Overland Airways,BEN,JOS,23,949,2,1
Dana Air,BAK,KAN,6,271,31,0
Air Peace,YOLA,JOS,3,727,16,0
Aero Contractors,PHC,LOS,22,1085,17,1
Azman Air,BAK,JOS,19,802,5,0
Ibom Air,ILR,LOS,5,649,22,0
Max Air,YOLA,KAN,11,638,27,0
Air Peace,KAN,BAK,17,1307,18,0
Aero Contractors,KAN,YOLA,11,325,16,1
Aero Contractors,JOS,LOK,17,762,10,1
Green Africa,LOK,BAK,2,1241,6,0
Green Africa,LOS,KAN,9,1048,22,0
United Nigeria,YOLA,JOS,6,1064,24,0
Azman Air,PHC,ILR,18,544,6,1
Azman Air,ILR,YOLA,12,667,23,1
United Nigeria,BAK,KAN,3,1180,4,0
Aero Contractors,YOLA,LOK,5,1229,6,1
Air Peace,LOS,BAK,0,868,15,0
Ibom Air,ABV,PHC,5,830,6,0
Aero Contractors,BEN,PHC,7,1288,19,0
Green Africa,LOS,PHC,14,1279,25,1
Dana Air,JOS,KAN,7,997,20,0
Max Air,LOS,ABV,21,1319,8,1
United Nigeria,ILR,BEN,5,1154,13,0
Overland Airways,BAK,PHC,18,414,4,0
Dana Air,PHC,BAK,13,942,31,0
Ibom Air,ABV,BEN,1,257,22,0
Azman Air,LOS,LOK,6,1105,17,0
Green Africa,KAN,ABV,9,1407,18,1
Green Africa,LOS,ILR,12,920,15,1
Azman Air,LOS,BAK,21,1386,22,0
Overland Airways,LOK,YOLA,20,1312,19,0
United Nigeria,ABV,YOLA,19,982,11,1
Dana Air,LOK,PHC,0,296,7,0
Azman Air,LOK,BAK,8,786,1,1
Ibom Air,BAK,ILR,9,1311,30,1
United Nigeria,ILR,KAN,19,717,3,0
Ibom Air,LOK,BEN,1,867,19,1
United Nigeria,LOS,PHC,19,1286,30,1
Overland Airways,JOS,BEN,10,740,28,0
Ibom Air,KAN,JOS,17,390,31,0
United Nigeria,KAN,YOLA,2,915,24,0
Green Africa,JOS,LOS,15,738,11,1
Aero Contractors,BEN,BAK,14,284,7,1
Green Africa,KAN,YOLA,7,640,7,0
Arik Air,YOLA,BAK,19,989,14,1
Max Air,ABV,LOK,4,1395,15,0
Max Air,ABV,ILR,2,538,5,1
Green Africa,ABV,JOS,4,1452,14,0
Dana Air,ILR,JOS,8,1402,13,1
Overland Airways,BAK,LOK,15,1470,20,0
Ibom Air,PHC,ABV,13,1203,26,1
Azman Air,BAK,LOS,17,873,22,0
Max Air,KAN,ABV,6,929,18,0
Green Africa,BAK,YOLA,14,516,1,0
Green Africa,JOS,ABV,7,275,13,0
Overland Airways,KAN,BAK,2,1173,23,1
Overland Airways,BAK,KAN,10,1198,29,1
Air Peace,LOK,PHC,17,623,7,0
Dana Air,BEN,YOLA,14,392,6,1
Dana Air,ILR,JOS,9,1096,27,1
Arik Air,KAN,YOLA,2,980,9,1
Dana Air,PHC,ABV,14,500,28,0
United Nigeria,ABV,BEN,22,459,10,1
Overland Airways,LOS,YOLA,5,1415,22,1
Azman Air,YOLA,ILR,10,1494,3,1
United Nigeria,BAK,YOLA,10,1203,7,0
Ibom Air,ABV,BAK,18,815,25,1
Green Africa,JOS,BEN,22,631,30,0
Dana Air,YOLA,LOS,2,915,11,0
Green Africa,BEN,BAK,12,895,26,1
Max Air,ABV,BEN,21,1440,12,1
Arik Air,LOK,BEN,7,1314,12,0
Max Air,ABV,YOLA,20,397,13,0
Arik Air,BEN,LOK,10,1182,22,0
Air Peace,ABV,KAN,10,238,23,0
Green Africa,BAK,LOK,12,908,8,0
Arik Air,ABV,BEN,2,670,4,0
Aero Contractors,LOK,YOLA,5,278,21,0
United Nigeria,ILR,KAN,23,928,20,1
Arik Air,BEN,JOS,9,1317,1,0
Arik Air,LOK,ILR,18,883,6,0
United Nigeria,KAN,ABV,11,242,23,1
Green Africa,ABV,KAN,13,331,2,1
Green Africa,PHC,JOS,10,276,22,0
United Nigeria,ABV,JOS,20,1455,14,0
Max Air,BEN,ILR,9,238,27,0
Aero Contractors,YOLA,PHC,2,350,18,0
Azman Air,LOK,LOS,12,1175,10,1
Ibom Air,PHC,ILR,17,1409,29,0
Aero Contractors,KAN,LOS,12,517,21,1
Green Africa,JOS,PHC,23,1358,1,1
Azman Air,KAN,PHC,13,1492,3,0
Air Peace,LOK,ILR,13,636,20,0
Dana Air,YOLA,LOS,6,826,4,1
United Nigeria,LOS,ABV,3,539,8,0
United Nigeria,PHC,LOK,15,1465,22,0
Arik Air,YOLA,LOS,18,1444,9,0
Dana Air,PHC,BAK,9,857,22,1
Ibom Air,LOK,BAK,15,1117,19,1
Dana Air,ILR,JOS,4,560,28,0
Azman Air,PHC,BAK,15,1195,2,1
Dana Air,LOS,BAK,0,970,9,1
Azman Air,BAK,ABV,4,389,3,1
Dana Air,YOLA,PHC,12,612,22,1
Ibom Air,LOS,JOS,12,528,26,1
Ibom Air,LOS,PHC,2,1445,2,1
Green Africa,JOS,LOS,16,291,7,0
Ibom Air,ABV,JOS,4,1329,17,0
Azman Air,ILR,KAN,4,444,25,0
Ibom Air,BEN,JOS,14,1108,17,1
Green Africa,JOS,BEN,9,1032,9,0
United Nigeria,LOK,PHC,11,296,27,0
Azman Air,LOK,LOS,23,1137,1,0
Green Africa,KAN,BAK,10,1153,1,0
Max Air,ABV,BEN,0,1489,8,0
Max Air,BEN,YOLA,22,774,17,1
Air Peace,PHC,KAN,20,302,31,0
Dana Air,ILR,LOK,2,1477,8,1
Arik Air,YOLA,PHC,3,1028,19,0
Overland Airways,LOS,LOK,18,712,4,0
Aero Contractors,PHC,LOS,23,865,18,0
Green Africa,KAN,LOK,19,1484,13,0
United Nigeria,ILR,LOS,2,234,22,1
Aero Contractors,YOLA,LOS,17,596,7,0
United Nigeria,KAN,ABV,2,226,26,0
Aero Contractors,LOS,ABV,6,505,3,0
Green Africa,JOS,KAN,21,898,14,1
Overland Airways,ABV,LOS,20,780,9,1
Aero Contractors,JOS,KAN,23,364,3,1
Green Africa,YOLA,ABV,0,1481,7,1
Ibom Air,JOS,KAN,18,301,15,0
Overland Airways,YOLA,KAN,17,654,4,0
Azman Air,BEN,ILR,1,392,5,0
United Nigeria,BEN,ILR,11,1115,28,0
Max Air,BAK,LOS,16,1097,9,1
Dana Air,BAK,BEN,20,1009,3,0
Max Air,JOS,LOK,20,498,16,0
Overland Airways,LOK,KAN,2,220,16,0
Azman Air,JOS,BEN,11,244,19,0
United Nigeria,JOS,ABV,11,695,25,0
Azman Air,LOK,PHC,5,882,9,0
Aero Contractors,ABV,LOK,9,422,29,0
United Nigeria,ILR,BAK,21,498,20,0
Green Africa,YOLA,KAN,13,1307,17,0
Overland Airways,ILR,LOS,1,1283,12,0
Air Peace,ABV,KAN,14,716,22,1
Azman Air,LOS,KAN,7,1097,5,0
Aero Contractors,BAK,YOLA,21,353,29,0
Ibom Air,PHC,LOK,12,480,31,0
Green Africa,BEN,ILR,18,633,28,1
Air Peace,LOS,ILR,9,541,15,0
Arik Air,KAN,BAK,8,285,26,1
Max Air,JOS,BEN,17,978,13,1
United Nigeria,YOLA,BAK,6,390,19,0
Air Peace,LOS,PHC,2,1475,3,1
Overland Airways,LOS,PHC,11,1291,2,0
Green Africa,PHC,YOLA,14,1369,13,0
Overland Airways,BAK,LOS,21,1190,7,0
Max Air,JOS,LOK,20,1075,9,1
Ibom Air,JOS,PHC,12,861,22,1
Azman Air,PHC,BEN,5,773,10,0
Overland Airways,PHC,LOK,13,330,22,0
Aero Contractors,KAN,ILR,2,1038,16,0
Ibom Air,ILR,LOS,15,1158,11,0
Azman Air,KAN,PHC,17,1422,24,1
Ibom Air,PHC,ILR,23,1038,8,1
Air Peace,BEN,JOS,16,420,30,0
Ibom Air,LOK,ABV,17,842,26,0
Dana Air,BEN,JOS,9,1394,13,1
Max Air,KAN,JOS,16,1368,16,1
Azman Air,JOS,ABV,15,687,3,0
Ibom Air,KAN,JOS,20,1051,13,0
Overland Airways,ABV,PHC,23,553,17,0
Arik Air,BAK,LOK,1,1404,21,1
Dana Air,YOLA,ILR,19,1147,6,0
Dana Air,ABV,KAN,3,360,10,0
Aero Contractors,PHC,YOLA,10,663,9,0
Ibom Air,LOS,ILR,6,1283,18,0
Aero Contractors,ILR,LOS,18,779,17,0
Arik Air,ABV,PHC,5,1415,31,0
Air Peace,LOK,ILR,9,687,7,0
Ibom Air,BEN,PHC,20,424,2,0
Green Africa,ABV,BAK,3,908,11,0
Azman Air,JOS,ABV,0,360,31,0
Aero Contractors,YOLA,KAN,6,654,18,1
Max Air,KAN,BEN,20,1334,3,0
United Nigeria,KAN,LOK,15,1282,14,0
Max Air,ABV,LOK,16,744,20,1
Arik Air,PHC,ILR,23,228,13,1
Arik Air,LOK,JOS,4,966,23,0
Overland Airways,PHC,ABV,21,384,17,0
Air Peace,BEN,JOS,22,1447,29,1
Azman Air,BAK,JOS,9,556,22,0
Aero Contractors,YOLA,BEN,6,691,11,1
Max Air,YOLA,PHC,12,932,7,1
United Nigeria,KAN,ILR,6,777,3,0
Arik Air,YOLA,LOK,14,313,3,0
Arik Air,PHC,LOS,16,577,2,0
Air Peace,LOK,JOS,22,296,21,1
United Nigeria,LOK,BAK,2,1041,16,1
United Nigeria,KAN,BEN,4,323,23,0
Air Peace,ABV,YOLA,9,355,11,0
Arik Air,LOK,ILR,4,309,28,0
Azman Air,PHC,BAK,23,252,14,1
Ibom Air,LOS,JOS,6,1397,3,1
Ibom Air,ABV,PHC,6,787,7,0
Air Peace,BAK,BEN,21,925,8,0
United Nigeria,ILR,KAN,22,244,13,0
Aero Contractors,JOS,LOS,13,1135,19,1
Air Peace,YOLA,BEN,22,1340,11,0
Azman Air,YOLA,BAK,14,321,1,1
Air Peace,LOS,LOK,4,681,19,0
Dana Air,ABV,LOS,4,1393,13,0
United Nigeria,PHC,YOLA,19,699,17,0
Overland Airways,LOS,ILR,20,273,9,1
United Nigeria,LOK,ABV,11,348,19,0
Azman Air,KAN,PHC,15,1091,28,0
Dana Air,ILR,BAK,21,1284,23,1
Dana Air,KAN,BEN,7,1277,23,1
Arik Air,LOS,LOK,8,1446,29,1
Max Air,BAK,PHC,11,672,6,0
Ibom Air,LOS,LOK,19,369,7,0
Green Africa,LOS,BEN,6,900,5,1
Azman Air,LOS,BAK,20,231,8,1
Green Africa,KAN,YOLA,3,252,26,0
Green Africa,LOS,YOLA,22,1139,14,1
United Nigeria,ABV,KAN,2,338,18,0
Overland Airways,KAN,JOS,0,1270,21,0
Overland Airways,LOK,ILR,6,289,27,1
United Nigeria,JOS,ILR,1,235,20,0
Green Africa,LOK,KAN,6,1215,24,1
Aero Contractors,ILR,YOLA,9,1128,3,0
Overland Airways,YOLA,LOK,1,1448,22,0
Azman Air,YOLA,JOS,2,939,14,0
Arik Air,KAN,BAK,12,468,25,0
Air Peace,LOK,JOS,9,1109,14,1
Aero Contractors,ILR,LOS,11,385,29,0
Overland Airways,PHC,JOS,2,1068,7,0
Dana Air,PHC,BAK,19,1458,6,1
Overland Airways,ABV,PHC,5,1345,27,0
Arik Air,LOS,BEN,2,623,6,1
Azman Air,LOS,BAK,1,1032,12,0
Green Africa,PHC,JOS,22,1125,31,0
Dana Air,LOK,YOLA,21,1340,22,0
United Nigeria,ILR,KAN,13,1068,15,1
Max Air,ABV,KAN,14,1215,26,1
Green Africa,LOK,KAN,17,641,25,1
Max Air,LOS,YOLA,18,238,19,0
Aero Contractors,ABV,LOK,21,1107,4,1
Air Peace,YOLA,BEN,9,1385,3,0
Dana Air,BEN,BAK,19,365,13,1
Dana Air,ABV,LOK,16,530,16,1
Overland Airways,LOS,JOS,18,1192,13,0
Azman Air,LOK,KAN,23,1335,30,0
Overland Airways,YOLA,JOS,3,913,21,0
Overland Airways,JOS,YOLA,10,1034,30,1
Aero Contractors,JOS,PHC,16,338,10,1
Green Africa,ABV,JOS,23,1389,13,1
Ibom Air,JOS,LOK,9,1392,8,1
Ibom Air,YOLA,BAK,21,968,12,1
Overland Airways,ILR,BEN,16,323,8,0
Max Air,LOK,KAN,11,1081,9,1
Aero Contractors,ABV,LOS,9,960,10,0
Overland Airways,JOS,BAK,9,1321,7,1
Air Peace,ILR,PHC,5,1283,3,0
Azman Air,LOK,ABV,16,1242,5,0
Green Africa,KAN,JOS,18,1347,3,1
United Nigeria,ILR,JOS,1,425,18,1
Air Peace,KAN,BEN,3,811,19,1
Max Air,KAN,BEN,17,523,28,1
Dana Air,ILR,KAN,20,1240,10,1
Dana Air,JOS,LOS,3,1303,9,0
Air Peace,KAN,LOS,5,796,25,0
Overland Airways,JOS,YOLA,13,740,24,1
United Nigeria,JOS,KAN,6,845,7,1
Arik Air,LOK,KAN,11,1189,1,0
Arik Air,BAK,PHC,1,905,25,0
Max Air,YOLA,ILR,17,830,10,1
Overland Airways,JOS,PHC,23,1078,2,1
Ibom Air,LOK,JOS,12,390,6,0
Ibom Air,BEN,ABV,12,1054,26,0
United Nigeria,ABV,LOS,6,604,6,1
United Nigeria,JOS,BEN,11,1495,24,0
Dana Air,ILR,ABV,13,1074,8,0
Aero Contractors,KAN,LOS,0,629,26,0
Max Air,KAN,LOS,23,719,18,0
Arik Air,BEN,ABV,9,1092,7,0
Max Air,ABV,BEN,8,1020,18,0
Ibom Air,LOK,ILR,9,1086,1,0
Ibom Air,BEN,YOLA,6,1415,28,1
Air Peace,YOLA,KAN,15,634,24,0
Green Africa,KAN,PHC,11,262,25,0
Azman Air,JOS,PHC,18,333,23,0
Max Air,BEN,LOS,12,1157,20,0
Ibom Air,YOLA,KAN,20,818,7,0
Aero Contractors,PHC,BEN,17,1384,20,1
Dana Air,LOS,BEN,2,1481,7,0
Arik Air,ILR,BEN,6,624,4,0
Green Africa,ILR,JOS,0,557,31,1
Aero Contractors,PHC,JOS,2,1232,30,0
Air Peace,LOK,ILR,13,396,25,0
Azman Air,ABV,LOS,3,1340,5,1
Ibom Air,PHC,BEN,18,1233,23,1
Dana Air,YOLA,BEN,21,1061,27,1
Aero Contractors,JOS,BEN,5,718,24,0
Green Africa,LOS,JOS,19,548,21,1
United Nigeria,KAN,ILR,8,774,1,1
Air Peace,LOS,PHC,10,1227,20,0
United Nigeria,ABV,ILR,21,527,3,0
Aero Contractors,YOLA,PHC,8,1130,7,0
Air Peace,ILR,ABV,10,329,6,0
Aero Contractors,ABV,KAN,9,786,31,0
Ibom Air,PHC,ABV,1,683,6,0
Overland Airways,ILR,KAN,21,557,2,0
Air Peace,ILR,BEN,13,584,16,0
United Nigeria,YOLA,ABV,3,453,6,0
Dana Air,PHC,JOS,1,1034,8,1
Azman Air,BEN,LOS,4,1390,21,0
Ibom Air,ABV,PHC,13,995,25,1
Arik Air,JOS,LOS,5,1119,23,1
Ibom Air,YOLA,ABV,14,250,6,0
Dana Air,JOS,PHC,13,1279,14,0
Air Peace,PHC,ABV,19,799,11,1
Aero Contractors,LOK,YOLA,11,251,27,0
Dana Air,BAK,LOK,3,324,15,1
Air Peace,LOS,YOLA,20,461,13,0
Azman Air,LOK,YOLA,5,1154,6,0
Aero Contractors,YOLA,ILR,10,529,4,0
United Nigeria,LOK,JOS,21,1487,13,0
Arik Air,KAN,YOLA,6,1428,10,0
Ibom Air,PHC,BEN,3,490,25,1
Dana Air,PHC,ILR,14,410,22,0
Arik Air,KAN,ABV,0,918,29,0
Green Africa,ILR,LOK,8,521,12,1
Air Peace,ILR,YOLA,22,557,24,0
Air Peace,ABV,LOK,19,1116,8,0
Dana Air,BEN,KAN,7,293,20,0
Overland Airways,LOS,ILR,11,910,5,1
Overland Airways,KAN,LOK,6,368,2,0
United Nigeria,JOS,KAN,0,297,12,0
Aero Contractors,KAN,BEN,8,549,6,0
Green Africa,BEN,ABV,6,935,30,1
Arik Air,KAN,BAK,13,778,15,1
Overland Airways,BEN,JOS,0,1040,18,0
Max Air,BEN,LOS,12,600,18,0
Max Air,BEN,PHC,19,950,10,0
Dana Air,PHC,LOS,14,1020,7,0
Green Africa,LOK,BEN,4,1227,10,1
Azman Air,PHC,JOS,4,568,5,0
Aero Contractors,ABV,LOK,13,755,16,1
United Nigeria,PHC,ILR,13,1342,29,1
Ibom Air,PHC,ABV,13,1204,19,1
Aero Contractors,KAN,JOS,10,1214,3,0
Ibom Air,PHC,YOLA,18,1413,7,1
Ibom Air,BAK,PHC,4,1013,19,1
Green Africa,BEN,ABV,3,305,12,0
Green Africa,KAN,JOS,14,364,10,0
Arik Air,ILR,YOLA,20,837,5,1
Max Air,JOS,KAN,6,1321,29,0
Aero Contractors,LOK,BEN,4,1223,2,0
Dana Air,JOS,BEN,14,530,3,0
Air Peace,BEN,ILR,13,1343,14,0
Dana Air,KAN,ILR,23,498,15,0
Arik Air,LOK,JOS,23,1055,20,1
United Nigeria,LOS,JOS,2,1366,13,1
Max Air,YOLA,ABV,4,906,17,1
Air Peace,JOS,PHC,11,1316,20,1
Overland Airways,LOK,JOS,19,646,4,0
United Nigeria,ABV,BEN,13,679,19,1
Ibom Air,YOLA,JOS,23,1073,15,1
Overland Airways,BEN,YOLA,3,1481,15,0
Dana Air,KAN,BEN,20,721,9,0
Dana Air,LOS,JOS,15,1324,3,0
Green Africa,ABV,LOS,6,821,2,0
Arik Air,LOK,LOS,2,958,7,1
Aero Contractors,BAK,LOS,21,443,9,0
Overland Airways,BEN,BAK,19,665,30,0
Azman Air,JOS,YOLA,21,1448,5,0
United Nigeria,JOS,YOLA,5,1064,17,1
Max Air,YOLA,BEN,2,468,3,0
United Nigeria,BEN,LOK,0,732,9,1
Aero Contractors,ABV,BEN,2,513,8,1
Dana Air,ILR,ABV,23,319,9,0
Dana Air,LOS,KAN,7,1180,24,0
Dana Air,ABV,LOS,15,1343,17,0
Azman Air,LOS,LOK,21,909,24,1
Green Africa,BEN,KAN,8,1281,14,0
Max Air,BEN,PHC,2,1135,22,1
Max Air,PHC,KAN,15,200,18,0
Aero Contractors,YOLA,JOS,20,276,17,0
Dana Air,PHC,ILR,0,1160,24,1
Green Africa,ABV,LOS,20,780,7,0
Overland Airways,JOS,KAN,19,347,20,0
United Nigeria,LOS,YOLA,15,773,15,0
Ibom Air,ILR,JOS,11,385,27,1
Green Africa,LOK,YOLA,5,721,28,0
Overland Airways,BAK,YOLA,20,361,7,0
Arik Air,KAN,BAK,8,395,2,0
Aero Contractors,PHC,KAN,20,233,27,0
Arik Air,YOLA,ILR,12,607,2,0
Overland Airways,ILR,LOK,23,736,7,0
Green Africa,ILR,YOLA,11,235,19,0
Aero Contractors,KAN,LOS,12,1487,6,0
Ibom Air,BAK,ABV,17,313,30,0
Dana Air,BEN,YOLA,18,804,28,1
Aero Contractors,ILR,LOS,18,642,12,1
Aero Contractors,ABV,BEN,18,1386,15,0
Green Africa,ABV,LOS,5,237,13,1
Green Africa,BEN,PHC,15,291,7,1
Overland Airways,LOS,LOK,6,830,7,0
Air Peace,JOS,BEN,6,871,15,0
Aero Contractors,BEN,BAK,22,300,26,0
United Nigeria,BAK,LOS,18,706,4,0
Aero Contractors,ABV,LOS,15,378,3,0
Overland Airways,ILR,JOS,16,483,1,0
Max Air,ABV,ILR,21,554,7,0
Dana Air,JOS,PHC,15,1205,1,1
Ibom Air,LOK,PHC,18,743,15,0
Ibom Air,LOS,BAK,14,849,4,1
Green Africa,LOK,KAN,14,554,2,1
Ibom Air,LOS,PHC,15,394,23,1
Dana Air,LOS,BAK,19,1003,7,0
Ibom Air,KAN,BEN,18,632,24,0
Aero Contractors,PHC,ILR,9,757,19,0
Aero Contractors,BEN,ILR,12,1250,6,1
Green Africa,ILR,PHC,14,361,15,1
Dana Air,BAK,ILR,11,300,20,0
Arik Air,BAK,PHC,16,898,12,0
Air Peace,BAK,KAN,14,357,11,1
Overland Airways,PHC,LOS,3,691,3,1
Overland Airways,BAK,ILR,16,1232,28,1
Max Air,BEN,ABV,10,1435,17,1
Overland Airways,ILR,KAN,22,1023,7,1
Aero Contractors,KAN,ABV,14,985,23,1
Dana Air,LOS,JOS,19,1191,18,1
Azman Air,BAK,ILR,20,310,17,0
Green Africa,BEN,PHC,6,1040,16,0
United Nigeria,LOS,ILR,12,402,25,0
Ibom Air,BAK,YOLA,12,1384,5,1
Dana Air,BAK,LOK,19,613,30,0
United Nigeria,LOK,BEN,19,889,21,1
Green Africa,LOS,YOLA,1,465,13,1
Aero Contractors,BAK,LOS,9,771,29,0
Dana Air,KAN,PHC,17,404,11,0
Max Air,LOS,BEN,4,1379,1,1
Max Air,ILR,BEN,19,372,27,0
United Nigeria,BEN,ABV,1,649,3,1
Dana Air,YOLA,LOK,3,261,18,1
United Nigeria,LOK,ILR,15,674,21,0
Air Peace,KAN,LOK,20,285,4,1
Overland Airways,YOLA,BEN,15,1366,29,0
Air Peace,LOK,YOLA,16,1230,9,1
Max Air,YOLA,KAN,14,494,11,0
Aero Contractors,YOLA,LOK,12,938,17,0
Arik Air,ABV,LOS,0,725,11,1
Overland Airways,BEN,KAN,21,233,3,1
United Nigeria,LOK,KAN,19,979,20,1
United Nigeria,KAN,LOS,0,837,23,0
United Nigeria,LOS,ABV,11,1257,21,0
Aero Contractors,YOLA,ILR,22,994,11,1
Air Peace,YOLA,LOK,14,605,26,0
Arik Air,LOK,YOLA,3,1241,14,0
United Nigeria,JOS,ABV,18,627,6,1
Azman Air,PHC,LOS,15,1113,19,1
Overland Airways,YOLA,ABV,22,492,21,0
Dana Air,BAK,LOK,17,779,29,1
Arik Air,ILR,PHC,10,1309,15,1
Aero Contractors,ABV,JOS,19,247,28,0
Arik Air,PHC,LOK,12,283,11,1
Dana Air,BAK,ILR,23,806,18,1
Overland Airways,ABV,KAN,21,507,4,0
Dana Air,ILR,LOK,8,451,28,0
Overland Airways,BEN,ABV,16,625,3,1
Arik Air,LOS,LOK,4,238,12,0
United Nigeria,BEN,ABV,21,1015,4,0
Arik Air,JOS,YOLA,7,824,24,0
Arik Air,JOS,BAK,2,575,12,0
Overland Airways,JOS,ILR,5,240,24,0
Green Africa,ABV,BEN,2,246,1,0
Arik Air,JOS,BAK,7,384,28,0
Azman Air,BEN,LOK,11,271,16,0
Ibom Air,LOK,JOS,1,773,30,0
Ibom Air,YOLA,ILR,9,541,2,1
Azman Air,LOS,YOLA,12,1163,22,1
United Nigeria,LOS,JOS,23,1466,3,0
Aero Contractors,YOLA,KAN,14,527,31,1
Aero Contractors,BAK,ABV,21,352,28,1
Overland Airways,LOK,BAK,18,1478,16,1
Ibom Air,BAK,JOS,17,928,26,0
Arik Air,BAK,ABV,12,431,10,0
Aero Contractors,LOS,BEN,19,375,29,1
Arik Air,ILR,YOLA,19,750,29,0
Overland Airways,KAN,BEN,0,342,9,0
Ibom Air,BEN,YOLA,15,216,14,0
Dana Air,ABV,YOLA,7,448,25,1
Max Air,BAK,PHC,22,1258,8,0
Max Air,JOS,PHC,5,1000,2,1
Aero Contractors,ABV,ILR,2,1199,11,1
Dana Air,ILR,PHC,15,345,27,0
Overland Airways,YOLA,LOK,22,926,18,0
Dana Air,KAN,BAK,1,364,5,0
Overland Airways,LOK,BAK,14,1334,28,0
Overland Airways,YOLA,KAN,9,846,26,0
Ibom Air,BAK,LOS,0,1297,25,1
Arik Air,ILR,YOLA,21,867,7,1
Azman Air,ILR,BEN,19,553,23,1
Max Air,BAK,ABV,14,1497,19,0
Azman Air,KAN,YOLA,23,1142,19,0
Overland Airways,ABV,PHC,21,725,16,1
Aero Contractors,JOS,KAN,15,709,19,1
Max Air,BAK,PHC,17,377,17,0
Max Air,JOS,YOLA,23,528,13,0
Arik Air,ABV,KAN,4,1000,28,1
Green Africa,KAN,LOS,20,887,8,0
Air Peace,LOS,BEN,4,1395,28,0
Air Peace,LOK,BEN,22,1137,11,1
Air Peace,KAN,ILR,22,1179,18,1
Arik Air,ILR,JOS,22,1258,23,0
Green Africa,ILR,BEN,11,496,9,0
Air Peace,PHC,JOS,9,821,14,1
Ibom Air,BEN,BAK,1,1458,2,1
Dana Air,YOLA,LOK,23,1108,29,0
Overland Airways,YOLA,LOS,0,1262,17,0
Green Africa,BAK,LOK,15,1442,21,1
Arik Air,YOLA,PHC,6,905,26,1
Azman Air,YOLA,ILR,3,827,5,0
Dana Air,KAN,JOS,9,872,1,0
Aero Contractors,LOK,ABV,9,619,9,0
Max Air,JOS,YOLA,10,852,3,0
Air Peace,PHC,KAN,2,1023,14,1
Aero Contractors,LOK,PHC,13,1397,18,0
Azman Air,PHC,YOLA,12,912,12,1
Air Peace,JOS,BAK,18,1066,23,0
Dana Air,LOS,ILR,9,1013,14,0
Azman Air,LOS,ABV,14,1067,28,1
Air Peace,YOLA,BAK,7,312,16,0
United Nigeria,ILR,BAK,5,373,20,0
Aero Contractors,KAN,BEN,6,1210,20,1
Max Air,BEN,KAN,7,836,9,0
Dana Air,LOS,LOK,11,231,25,0
Green Africa,YOLA,ABV,17,1477,17,0
United Nigeria,ILR,LOK,13,696,12,1
Ibom Air,PHC,ABV,0,1336,13,1
Air Peace,PHC,LOS,3,394,10,0
United Nigeria,ABV,BEN,16,727,7,1
Dana Air,KAN,ABV,17,640,27,0
Overland Airways,BAK,JOS,18,923,24,0
Air Peace,PHC,JOS,3,223,21,0
Arik Air,ABV,LOS,5,489,7,1
Aero Contractors,LOS,KAN,7,1095,8,1
Dana Air,PHC,ILR,14,507,24,0
Arik Air,BAK,BEN,19,503,15,0
Max Air,YOLA,BAK,0,830,25,0
Azman Air,ILR,YOLA,4,1150,21,0
Ibom Air,BEN,PHC,15,237,18,0
Ibom Air,PHC,BEN,20,585,22,0
Arik Air,BEN,LOS,5,944,1,1
Aero Contractors,BEN,JOS,20,281,10,0
Max Air,BEN,YOLA,9,1341,22,1
Overland Airways,LOK,ABV,9,249,19,0
Aero Contractors,BEN,KAN,4,868,29,0
United Nigeria,LOK,KAN,7,273,3,0
United Nigeria,BEN,ILR,4,894,4,1
Air Peace,ABV,BEN,0,1329,5,1
Green Africa,BEN,PHC,6,883,31,0
Dana Air,JOS,LOS,14,555,6,0
Max Air,KAN,YOLA,22,1213,28,1
Aero Contractors,ABV,JOS,23,384,10,1
Ibom Air,BAK,LOS,13,353,12,1
United Nigeria,PHC,LOS,22,1053,14,0
Azman Air,ILR,LOK,8,317,22,1
Air Peace,ILR,LOK,7,466,2,0
Dana Air,JOS,ABV,7,1036,3,0
Dana Air,JOS,PHC,2,454,1,0
Aero Contractors,JOS,ABV,19,1464,3,0
Max Air,JOS,YOLA,3,370,24,0
Azman Air,LOS,JOS,5,1201,16,0
